X;Y;Name;DIRECCI__N_COMERCIAL;HORARIO_DE_ATENCI__N;Latitud;Longitud;N;N COMERCIAL;;;;;;
-7.698.759;-1.195.931;TIENDAS TAMBO S.A.C;PROGRAMA CIUDAD MARISCAL CÁCERES MZ A LTE 35 SECTOR 1 PRIMERA ETAPA LIMA-LIMA-SAN JUAN DE LURIGANCHO;07:00 am - 10:30 pm;-1.195.931;-7.698.759;07:00 am - 10:30 pm;PROGRAMA CIUDAD MARISCAL CÁCERES MZ A LTE 35 SECTOR 1 PRIMERA ETAPA LIMA-LIMA-SAN JUAN DE LURIGANCHO;;;;;;
-7.708.803;-1.207.653;TIENDAS TAMBO S.A.C;AV. PARQUE DE LAS LEYENDAS NRO. 252 URB. PANDO (REF LOCAL COMERCIAL 6) LIMA - LIMA - SAN MIGUEL;07:00 am - 10:30 pm;-1.207.653;-7.708.803;07:00 am - 10:30 pm;AV. PARQUE DE LAS LEYENDAS NRO. 252 URB. PANDO (REF LOCAL COMERCIAL 6) LIMA - LIMA - SAN MIGUEL;;;;;;
-7.703.446;-1.207.768;TIENDAS TAMBO S.A.C;JR. TEODORO CARDENAS NRO. 282 (PRIMER CARDENAS) LIMA-LIMA-LINCE;07:00 am - 10:30 pm;-1.207.768;-7.703.446;07:00 am - 10:30 pm;JR. TEODORO CARDENAS NRO. 282 (PRIMER CARDENAS) LIMA-LIMA-LINCE;;;;;;
-7.707.858;-1.206.358;TIENDAS TAMBO S.A.C;AV. UNIVERSITARIA NRO. 2033 URB. PANDO VIII ETAPA LIMA-LIMA-SAN MIGUEL;07:00 am - 10:30 pm;-1.206.358;-7.707.858;07:00 am - 10:30 pm;AV. UNIVERSITARIA NRO. 2033 URB. PANDO VIII ETAPA LIMA-LIMA-SAN MIGUEL;;;;;;
-7.700.039;-1.197.458;TIENDAS TAMBO S.A.C;MZA. C1 LOTE. 12 URB. LOS PINOS (PRIMER PISO) LIMA-LIMA-SAN JUAN DE LURIGANCHO;07:00 am - 10:30 pm;-1.197.458;-7.700.039;07:00 am - 10:30 pm;MZA. C1 LOTE. 12 URB. LOS PINOS (PRIMER PISO) LIMA-LIMA-SAN JUAN DE LURIGANCHO;;;;;;
-7.696.448;-1.207.643;OXXO BUCARÉ;AV. JAVIER PRADO ESTE N° 5299;07:00 am - 10:00 pm;-1.207.643;-7.696.448;07:00 am - 10:00 pm;AV. JAVIER PRADO ESTE N° 5299;;;;;;
-7.699.356;-1.196.773;TIENDAS TAMBO S.A.C;LOS ALAMOS MZ E LT 07 - SAN JUAN DE LURIGANCHO;07:00 am - 10:30 pm;-1.196.773;-7.699.356;07:00 am - 10:30 pm;LOS ALAMOS MZ E LT 07 - SAN JUAN DE LURIGANCHO;;;;;;
-769.303;-1.204.306;TIENDAS TAMBO S.A.C;AV. JAVIER PRADO NRO. 8703 URB. LOS PORTALES DE JAVIER PRADO (MZ J1 LOTE 50);07:00 am - 10:30 pm;-1.204.306;-769.303;07:00 am - 10:30 pm;AV. JAVIER PRADO NRO. 8703 URB. LOS PORTALES DE JAVIER PRADO (MZ J1 LOTE 50);;;;;;
-769.584;-1.206.751;TIENDAS TAMBO S.A.C;AV. CONSTRUCTORES NRO 107 (ESQUINA AV. LA MOLINA) LIMA-LIMA-LA MOLINA;07:00 am - 10:30 pm;-1.206.751;-769.584;07:00 am - 10:30 pm;AV. CONSTRUCTORES NRO 107 (ESQUINA AV. LA MOLINA) LIMA-LIMA-LA MOLINA;;;;;;
-7.705.874;-1.208.965;TIENDAS TAMBO S.A.C;AV. PERSHING N° 590, MAGDALENA DEL MAR;07:00 am - 10:30 pm;-1.208.965;-7.705.874;07:00 am - 10:30 pm;AV. PERSHING N° 590, MAGDALENA DEL MAR;;;;;;
