X;Y;Name;LATITUD;LONGITUD
-77.025.527;-12.091.303.973.832;MASIAS (201);-12.091.304;-77.025.527
-770.174.446;-12.090.193.773.832;CLINICA RICARDO PALMA (201, 204, 206, 209);-120.901.938;-770.174.446
-770.078.835;-12.088.936.773.832;GUARDIA CIVIL (201, 204, 206);-120.889.368;-770.078.835
-7.700.465;-12.088.515.973.832;AVIACION  (201, 204, 206);-12.088.516;-7.700.465
-7.699.692;-12.087.405.973.832;SAN LUIS (201, 204, 206, 209);-12.087.406;-7.699.692
-7.699.294;-12.086.827.973.832;ROSA TORO (201, 204, 206);-12.086.828;-7.699.294
-76.985.586;-12.085.418.973.832;CIRCUNVALACION (201, 204, 206, 209);-12.085.419;-76.985.586
-76.978.108;-12.084.744.973.832;JOCKEY (201, 204, 206, 209);-12.084.745;-76.978.108
-76.971.766;-12.083.889.973.832;UNIVERSIDAD DE LIMA (201);-1.208.389;-76.971.766
-76.967.053;-12.081.371.973.832;CAMACHO (201, 206, 209);-12.081.372;-76.967.053
-76.963.232;-12.075.253.973.832;LOS FRUTALES (201, 204, 206, 209);-12.075.254;-76.963.232
-76.957.042;-12.071.815.973.832;LA MOLINA (201, 204);-12.071.816;-76.957.042
-76.948.786;-12.069.180.973.832;INGENIEROS (201 , 204);-12.069.181;-76.948.786
-7.694.415;-12.067.052.973.832;FLORA TRISTAN (201, 204);-12.067.053;-7.694.415
-76.938.474;-12.063.445.973.832;HUAROCHIRI (201, 209);-12.063.446;-76.938.474
-76.937.942;-12.059.769.973.832;MONUMENTAL (201, 209);-1.205.977;-76.937.942
-76.936.071;-12.047.204.973.832;PARIS (201, 209);-12.047.205;-76.936.071
-76.930.786;-12.043.598.973.832;VISTA ALEGRE (201);-12.043.599;-76.930.786
-769.260.785;-12.042.433.873.832;HOLANDA (201, 209);-120.424.339;-769.260.785
-76.924.142;-12.038.479.973.832;BERLIN (201, 209);-1.203.848;-76.924.142
-7.692.594;-12.033.604.973.832;CERES (201);-12.033.605;-7.692.594
-7.693.497;-12.044.863.973.832;MONACO (209);-12.044.864;-7.693.497
-76.941.767;-12.061.092.973.832;CONSTRUCTORES (209);-12.061.093;-76.941.767
-76.926.128;-12.033.055.973.832;CERES (209);-12.033.056;-76.926.128
-76.939.685;-12.063.764.973.832;OVALO HUAROCHIRI (209);-12.063.765;-76.939.685
